path	june	july
A/1145	5920	7004
A/1146	5918	7002
A/1147	5924	7008
A/1148	5920	7004
A/1149	5920	7004
A/115	5837	6921
A/1150	5906	6990
A/1151	5924	7008
A/1152	5923	7007
A/1153	5922	7006
A/1154	5925	7009
A/1155	5922	7006
A/1156	5920	7004
A/1157	5924	7008
A/1158	5920	7004
A/1159	5922	7006
A/116	5836	6920
A/1160	5893	6977
A/1161	5919	7003
A/1162	5918	7002
A/1163	5918	7002
A/1164	5922	7006
A/1165	5920	7004
A/1166	5918	7002
A/1167	5924	7008
A/1168	5920	7004
A/1169	5920	7004
A/117	5839	6923
A/1170	5906	6990
A/1171	5924	7008
A/1172	5922	7006
A/1173	5922	7006
A/1174	5924	7008
A/1175	5922	7006
A/1176	5920	7004
A/1177	5924	7008
A/1178	5920	7004
A/1179	5922	7006
A/118	5835	6919
A/1180	5898	6982
A/1181	5922	7006
A/1182	5922	7006
A/1183	5922	7006
A/1184	5926	7010
A/1185	5924	7008
A/1186	5922	7006
A/1187	5928	7012
A/1188	5924	7008
A/1189	5924	7008
A/119	5837	6921
A/1190	5908	6992
A/1191	5928	7012
A/1192	5927	7011
A/1193	5927	7011
A/1194	5928	7012
A/1195	5926	7010
A/1196	5924	7008
A/1197	5928	7012
A/1198	5924	7008
A/1199	5926	7010
A/11_(ахыҧхьаӡара)	27790	6546
A/11_(ахыԥхьаӡара)	27790	6546
A/12	7129	8308
A/120	5837	6921
A/1200	5860	6944
A/1201	5888	6972
A/1202	5888	6972
A/1203	5888	6972
A/1204	5893	6977
A/1205	5890	6974
A/1206	5888	6972
A/1207	5894	6978
A/1208	5890	6974
A/1209	5890	6974
A/121	5862	6946
A/1210	5892	6976
A/1211	5894	6978
A/1212	5892	6976
A/1213	5892	6976
A/1214	5894	6978
A/1215	5892	6976
A/1216	5890	6974
A/1217	5894	6978
A/1218	5890	6974
A/1219	5892	6976
A/122	5862	6946
A/1220	5892	6976
A/1221	5917	7001
A/1222	5917	7001
A/1223	5917	7001
A/1224	5921	7005
A/1225	5919	7003
A/1226	5917	7001
A/1227	5923	7007
A/1228	5919	7003
A/1229	5919	7003
A/123	5862	6946
A/1230	5903	6987
A/1231	5923	7007
A/1232	5921	7005
A/1233	5921	7005
A/1234	5924	7008
A/1235	5921	7005
A/1236	5919	7003
A/1237	5923	7007
A/1238	5919	7003
A/1239	5921	7005
A/124	5866	6950
A/1240	5898	6982
A/1241	5923	7007
A/1242	5923	7007
A/1243	5923	7007
A/1244	5927	7011
